accession_number,technology,assembly,country
MZ920641.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920640.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920639.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920638.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: C. Valenciana, Alicante"
MZ920637.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Jaen"
MZ920636.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920635.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920634.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Galicia, Galicia"
MZ920633.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Cuenca"
MZ920632.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Cuenca"
MZ920631.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Burgos"
MZ920630.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Jaen"
MZ920629.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Valladolid"
MZ920628.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920627.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: C. Valenciana, Valencia"
MZ920626.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920625.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Basque_Country, Vizcaya"
MZ920624.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: C. Valenciana, Valencia"
MZ920623.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920622.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Badajoz"
MZ920621.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Asturias, Asturias"
MZ920620.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, CiudadReal"
MZ920619.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920618.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920617.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920616.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Avila"
MZ920615.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Badajoz"
MZ920614.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: C. Valenciana, Valencia"
MZ920613.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Malaga"
MZ920612.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920611.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920610.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Cantabria, Cantabria"
MZ920609.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920608.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920607.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920606.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Badajoz"
MZ920605.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Sevilla"
MZ920604.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Navarra, Navarra"
MZ920603.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Galicia, Lugo"
MZ920602.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, CiudadReal"
MZ920601.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Valladolid"
MZ920600.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Madrid, Madrid"
MZ920599.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Madrid, Madrid"
MZ920598.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920597.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920596.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920595.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920594.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920593.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920592.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Navarra, Navarra"
MZ920591.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920590.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: C. Valenciana, Alicante"
MZ920589.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920588.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920587.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Asturias, Asturias"
MZ920586.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920585.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920584.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Cuenca"
MZ920583.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cadiz"
MZ920582.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Caceres"
MZ920581.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: C. Valenciana, Valencia"
MZ920580.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920579.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Tarragona"
MZ920578.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Galicia, Pontevedra"
MZ920577.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Sevilla"
MZ920576.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Asturias, Asturias"
MZ920575.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: C. Valenciana, Alicante"
MZ920574.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Asturias, Asturias"
MZ920573.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920572.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Cantabria, Cantabria"
MZ920571.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Cantabria, Cantabria"
MZ920570.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Badajoz"
MZ920569.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Aragon, Huesca"
MZ920568.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: C. Valenciana, Valencia"
MZ920567.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Almeria"
MZ920566.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Albacete"
MZ920565.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Madrid, Madrid"
MZ920564.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920563.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Almeria"
MZ920562.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Lleida"
MZ920561.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Leon"
MZ920560.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cadiz"
MZ920559.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920558.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920557.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Aragon, Teruel"
MZ920556.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Madrid, Madrid"
MZ920555.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Galicia, Lugo"
MZ920554.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920553.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Girona"
MZ920552.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Badajoz"
MZ920551.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Galicia, Lugo"
MZ920550.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Burgos"
MZ920549.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cadiz"
MZ920548.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Madrid, Madrid"
MZ920547.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920546.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920545.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Aragon, Teruel"
MZ920544.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: C. Valenciana, Castellon"
MZ920543.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Badajoz"
MZ920542.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Malaga"
MZ920541.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Cantabria, Cantabria"
MZ920540.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Cantabria, Cantabria"
MZ920539.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Albacete"
MZ920538.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920537.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920536.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Cuenca"
MZ920535.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Badajoz"
MZ920534.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920533.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920532.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: C. Valenciana, Alicante"
MZ920531.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920530.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920529.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Sevilla"
MZ920528.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Tarragona"
MZ920527.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Leon"
MZ920526.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920525.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920524.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cadiz"
MZ920523.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Cuenca"
MZ920522.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Avila"
MZ920521.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Malaga"
MZ920520.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920519.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920518.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Sevilla"
MZ920517.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920516.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Segovia"
MZ920515.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Aragon, Zaragoza"
MZ920514.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Girona"
MZ920513.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920512.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Granada"
MZ920511.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Jaen"
MZ920510.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Aragon, Zaragoza"
MZ920509.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Malaga"
MZ920508.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920507.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920506.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920505.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Sevilla"
MZ920504.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920503.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Asturias, Asturias"
MZ920502.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Cantabria, Cantabria"
MZ920501.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Asturias, Asturias"
MZ920500.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Aragon, Teruel"
MZ920499.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920498.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Burgos"
MZ920497.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Lleida"
MZ920496.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920495.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920494.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Valladolid"
MZ920493.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920492.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920491.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cadiz"
MZ920490.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920489.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Almeria"
MZ920488.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Asturias, Asturias"
MZ920487.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cadiz"
MZ920486.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Burgos"
MZ920485.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
OP620844.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620843.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620842.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620841.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620840.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620839.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620838.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620837.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620836.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620835.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620834.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620833.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620832.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620831.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620830.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620829.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620828.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620827.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620826.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
OP620825.1,Illumina,BCFtools v. 1.15,China: Miao people in Guizhou
MZ920484.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920483.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920482.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920481.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920480.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Girona"
MZ920479.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Cantabria, Cantabria"
MZ920478.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Badajoz"
MZ920477.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Cuenca"
MZ920476.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Lleida"
MZ920475.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Segovia"
MZ920474.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920473.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920472.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920471.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Leon"
MZ920470.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Guadalajara"
MZ920469.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920468.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920467.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Lleida"
MZ920466.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Asturias, Asturias"
MZ920465.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920464.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920463.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Jaen"
MZ920462.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920461.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920460.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920459.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Albacete"
MZ920458.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Caceres"
MZ920457.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Cuenca"
MZ920456.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Badajoz"
MZ920455.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Caceres"
MZ920454.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Aragon, Huesca"
MZ920453.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Asturias, Asturias"
MZ920452.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Baleares, Baleares"
MZ920451.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920450.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920449.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920448.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Aragon, Huesca"
MZ920447.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Lleida"
MZ920446.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Aragon, Zaragoza"
MZ920445.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Lleida"
MZ920444.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: C. Valenciana, Valencia"
MZ920443.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920442.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Lleida"
MZ920441.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Malaga"
MZ920440.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, CiudadReal"
MZ920439.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Jaen"
MZ920438.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Albacete"
MZ920437.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Barcelona"
MZ920436.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, CiudadReal"
MZ920435.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Jaen"
MZ920434.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Leon"
MZ920433.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Jaen"
MZ920432.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: C. Valenciana, Castellon"
MZ920431.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Avila"
MZ920430.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920429.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Sevilla"
MZ920428.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Aragon, Huesca"
MZ920427.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920426.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Basque_Country, Guipuzcoa"
MZ920425.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Malaga"
MZ920424.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Aragon, Teruel"
MZ920423.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Albacete"
MZ920422.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Cuenca"
MZ920421.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Jaen"
MZ920420.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920419.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Canarias, Canarias"
MZ920418.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Leon"
MZ920417.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Catalunya, Girona"
MZ920416.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Albacete"
MZ920415.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Canarias, Canarias"
MZ920414.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Albacete"
MZ920413.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920412.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Leon"
MZ920411.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Jaen"
MZ920410.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Asturias, Asturias"
MZ920409.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, CiudadReal"
MZ920408.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Burgos"
MZ920407.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
MZ920406.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: La_Rioja, LaRioja"
MZ920405.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Jaen"
MZ920404.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla LaMancha, Albacete"
MZ920403.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Badajoz"
MZ920402.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Zamora"
MZ920401.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Avila"
MZ920400.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Aragon, Teruel"
MZ920399.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Badajoz"
MZ920398.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Extremadura, Badajoz"
MZ920397.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Burgos"
MZ920396.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Malaga"
MZ920395.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Navarra, Navarra"
MZ920394.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Segovia"
MZ920393.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Murcia, Murcia"
MZ920392.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Aragon, Zaragoza"
MZ920391.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Castilla y Leon, Salamanca"
MZ920390.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Cantabria, Cantabria"
MZ920389.1,Illumina,BWA-MEM v. v.0.7.5a-r405,"Spain: Andalucia, Cordoba"
